,id,cartodb_id,departamento,n_universidades,pais
0,0,1,AMAZONAS,1.0,Colombia
1,1,19,LA GUAJIRA,1.0,Colombia
2,2,2,ANTIOQUIA,16.0,Colombia
3,4,3,ARAUCA,0.0,Colombia
4,5,20,MAGDALENA,3.0,Colombia
5,6,13,CHOCÓ,1.0,Colombia
6,7,21,META,4.0,Colombia
7,8,14,CÓRDOBA,3.0,Colombia
8,9,8,CALDAS,4.0,Colombia
9,10,23,NORTE DE SANTANDER,3.0,Colombia
10,11,10,CASANARE,0.0,Colombia
11,12,11,CAUCA,1.0,Colombia
12,13,24,PUTUMAYO,1.0,Colombia
13,14,12,CESAR,2.0,Colombia
14,15,15,CUNDINAMARCA,7.0,Colombia
15,16,26,RISARALDA,6.0,Colombia
16,17,17,GUAVIARE,0.0,Colombia
17,18,18,HUILA,5.0,Colombia
18,19,28,SANTANDER,9.0,Colombia
19,20,29,SUCRE,2.0,Colombia
20,21,30,TOLIMA,3.0,Colombia
21,22,31,VALLE DEL CAUCA,9.0,Colombia
22,23,33,VICHADA,0.0,Colombia
23,24,16,GUAINÍA,0.0,Colombia
24,25,4,ARCHIPIÉLAGO DE SAN ANDRÉS,0.0,Colombia
25,26,5,ATLÁNTICO,7.0,Colombia
26,27,22,NARIÑO,3.0,Colombia
27,28,6,BOLÍVAR,5.0,Colombia
28,29,7,BOYACÁ,2.0,Colombia
29,30,25,QUINDÍO,1.0,Colombia
30,31,9,CAQUETÁ,0.0,Colombia
31,32,27, BOGOTÁ  D. C.,32.0,Colombia
32,33,32,VAUPÉS,0.0,Colombia
