,cod_departamento,departamento,porc_pob_expuesta,id_geojson
0,91,Amazonas,5.9,0
1,5,Antioquia,46.8,2
2,81,Arauca,61.8,4
3,88,Archipielago de San Andres Providencia y Santa Catalina,0,25
4,8,Atlantico,0.8,26
5,11,Bogota D.C.,24.9,32
6,13,Bolivar,33.1,28
7,15,Boyaca,59.6,29
8,23,Cordoba,22.1,8
9,17,Caldas,53.4,9
10,18,Caqueta,39.3,31
11,85,Casanare,51.3,11
12,19,Cauca,59.7,12
13,20,Cesar,35.4,14
14,27,Choco,42.5,6
15,25,Cundinamarca,62.3,15
16,94,Guainia,25.1,24
17,95,Guaviare,6.2,17
18,41,Huila,44,18
19,44,La Guajira,19.6,1
20,47,Magdalena,42.7,5
21,50,Meta,21.1,7
22,52,Nariño,43.7,27
23,54,Norte de Santander,47.1,10
24,86,Putumayo,23.1,13
25,63,Quindio,16.6,30
26,66,Risaralda,36.8,16
27,68,Santander,39.5,19
28,70,Sucre,12.2,20
29,73,Tolima,51,21
30,76,Valle del Cauca,33.6,22
31,97,Vaupes,4.3,33
32,99,Vichada,17,23
